"SystemNumber"	"InfiltrationTypeName"	"SystemStorageVolume"	"StormSizeManaged"	"SystemContributingImperviousArea"	"ProjectName"	"ConstructionCompletedDate"	"CAPITStatus"
"12-1"	"Infiltration"	163.35	0.462420382165605	4239	"4th St and Cambridge St (Bodine High School)"	2013-02-08	"Closed"
"12-2"	"Infiltration"	10.89	0.0415120711562897	3148	"4th St and Cambridge St (Bodine High School)"	2013-02-08	"Closed"
"12-3"	"Infiltration"	352.11	0.665824141191302	6346	"4th St and Cambridge St (Bodine High School)"	2013-02-08	"Closed"
"12-4"	"Infiltration"	453.75	1.76327720207254	3088	"4th St and Cambridge St (Bodine High School)"	2013-02-08	"Closed"
"12-5"	"Detention/Slow Release"	1560.9	1.12328635682159	16675	"4th St and Cambridge St (Bodine High School)"	2013-02-08	"Closed"
"91-1"	"Detention/Slow Release"	1306.8	1.00330134357006	15630	"3rd St and Fairmount Ave Intersection"	2013-02-08	"Closed"
"162-1"	"Detention/Slow Release"	580.8	1.38560636182903	5030	"18th St, 19th St, Ellsworth St, and Washington Ave (Chew Playground)"	2013-09-17	"Closed"
"162-2"	"Detention/Slow Release"	1162	1.20727272727273	11550	"18th St, 19th St, Ellsworth St, and Washington Ave (Chew Playground)"	2013-09-17	"Closed"
"162-3"	"Detention/Slow Release"	1742.4	1.17862457722661	17740	"18th St, 19th St, Ellsworth St, and Washington Ave (Chew Playground)"	2013-09-17	"Closed"
"162-4"	"Detention/Slow Release"	1234.2	1.94362204724409	7620	"18th St, 19th St, Ellsworth St, and Washington Ave (Chew Playground)"	2013-09-17	"Closed"
"16-1"	"Infiltration"	1089	1.39021276595745	9400	"10th St from Wilder St to Reed St"	2013-09-17	"Closed"
"313-1"	"Infiltration"	1452	1.45442404006678	11980	"Passyunk Ave from Dickinson St To Reed St"	2013-09-17	"Closed"
"15-1"	"Detention/Slow Release"	1125.3	1.15415384615385	11700	"12th St from Dickinson St to Tasker St"	2013-09-17	"Closed"
